"Code","Name","TableCode","TS_code","TableName21","CategoryCode11"
"NM_1531_1_45","Age 44","NM_1531_1","TS007A","Age structure",45
"NM_1531_1_46","Age 45","NM_1531_1","TS007A","Age structure",46
"NM_1531_1_47","Age 46","NM_1531_1","TS007A","Age structure",47
"NM_1531_1_48","Age 47","NM_1531_1","TS007A","Age structure",48
"NM_1531_1_49","Age 48","NM_1531_1","TS007A","Age structure",49
"NM_1531_1_50","Age 49","NM_1531_1","TS007A","Age structure",50
"NM_1531_1_51","Age 50","NM_1531_1","TS007A","Age structure",51
"NM_1531_1_52","Age 51","NM_1531_1","TS007A","Age structure",52
"NM_1531_1_53","Age 52","NM_1531_1","TS007A","Age structure",53
"NM_1531_1_54","Age 53","NM_1531_1","TS007A","Age structure",54
"NM_1531_1_55","Age 54","NM_1531_1","TS007A","Age structure",55
"NM_1531_1_56","Age 55","NM_1531_1","TS007A","Age structure",56
"NM_1531_1_57","Age 56","NM_1531_1","TS007A","Age structure",57
"NM_1531_1_58","Age 57","NM_1531_1","TS007A","Age structure",58
"NM_1531_1_59","Age 58","NM_1531_1","TS007A","Age structure",59
"NM_1531_1_60","Age 59","NM_1531_1","TS007A","Age structure",60
"NM_1531_1_61","Age 60","NM_1531_1","TS007A","Age structure",61
"NM_1531_1_62","Age 61","NM_1531_1","TS007A","Age structure",62
"NM_1531_1_63","Age 62","NM_1531_1","TS007A","Age structure",63
"NM_1531_1_64","Age 63","NM_1531_1","TS007A","Age structure",64
"NM_1531_1_65","Age 64","NM_1531_1","TS007A","Age structure",65
"NM_1531_1_66","Age 65","NM_1531_1","TS007A","Age structure",66
"NM_1531_1_67","Age 66","NM_1531_1","TS007A","Age structure",67
"NM_1531_1_68","Age 67","NM_1531_1","TS007A","Age structure",68
"NM_1531_1_69","Age 68","NM_1531_1","TS007A","Age structure",69
"NM_1531_1_70","Age 69","NM_1531_1","TS007A","Age structure",70
"NM_1531_1_71","Age 70","NM_1531_1","TS007A","Age structure",71
"NM_1531_1_72","Age 71","NM_1531_1","TS007A","Age structure",72
"NM_1531_1_73","Age 72","NM_1531_1","TS007A","Age structure",73
"NM_1531_1_74","Age 73","NM_1531_1","TS007A","Age structure",74
"NM_1531_1_75","Age 74","NM_1531_1","TS007A","Age structure",75
"NM_1531_1_76","Age 75","NM_1531_1","TS007A","Age structure",76
"NM_1531_1_77","Age 76","NM_1531_1","TS007A","Age structure",77
"NM_1531_1_78","Age 77","NM_1531_1","TS007A","Age structure",78
"NM_1531_1_79","Age 78","NM_1531_1","TS007A","Age structure",79
"NM_1531_1_80","Age 79","NM_1531_1","TS007A","Age structure",80
"NM_1531_1_81","Age 80","NM_1531_1","TS007A","Age structure",81
"NM_1531_1_82","Age 81","NM_1531_1","TS007A","Age structure",82
"NM_1531_1_83","Age 82","NM_1531_1","TS007A","Age structure",83
"NM_1531_1_84","Age 83","NM_1531_1","TS007A","Age structure",84
"NM_1531_1_85","Age 84","NM_1531_1","TS007A","Age structure",85
"NM_1531_1_86","Age 85","NM_1531_1","TS007A","Age structure",86
"NM_1531_1_87","Age 86","NM_1531_1","TS007A","Age structure",87
"NM_1531_1_88","Age 87","NM_1531_1","TS007A","Age structure",88
"NM_1531_1_89","Age 88","NM_1531_1","TS007A","Age structure",89
"NM_1531_1_90","Age 89","NM_1531_1","TS007A","Age structure",90
"NM_1531_1_91","Age 90","NM_1531_1","TS007A","Age structure",91
"NM_1531_1_92","Age 91","NM_1531_1","TS007A","Age structure",92
"NM_1531_1_93","Age 92","NM_1531_1","TS007A","Age structure",93
"NM_1531_1_94","Age 93","NM_1531_1","TS007A","Age structure",94
"NM_1531_1_95","Age 94","NM_1531_1","TS007A","Age structure",95
"NM_1531_1_96","Age 95","NM_1531_1","TS007A","Age structure",96
"NM_1531_1_97","Age 96","NM_1531_1","TS007A","Age structure",97
"NM_1531_1_98","Age 97","NM_1531_1","TS007A","Age structure",98
"NM_1531_1_99","Age 98","NM_1531_1","TS007A","Age structure",99
"NM_1531_1_100","Age 99","NM_1531_1","TS007A","Age structure",100
"NM_1531_1_101","Age 100 and over","NM_1531_1","TS007A","Age structure",101
"NM_2028_1_0","All persons","NM_2028_1","TS008","Sex",0
"NM_2028_1_1","Female","NM_2028_1","TS008","Sex",2
"NM_2028_1_2","Male","NM_2028_1","TS008","Sex",1
"NM_1532_1_0","All persons","NM_1532_1","TS008","Sex",0
"NM_1532_1_1","Males","NM_1532_1","TS008","Sex",1
"NM_1532_1_2","Females","NM_1532_1","TS008","Sex",2
"NM_2037_1_0","Total: All households","NM_2037_1","TS017","Household size",0
"NM_2037_1_2","1 person in household","NM_2037_1","TS017","Household size",1
"NM_2037_1_3","2 people in household","NM_2037_1","TS017","Household size",2
"NM_2037_1_4","3 people in household","NM_2037_1","TS017","Household size",3
"NM_2037_1_5","4 people in household","NM_2037_1","TS017","Household size",4
"NM_2037_1_6","5 people in household","NM_2037_1","TS017","Household size",5
"NM_2037_1_7","6 people in household","NM_2037_1","TS017","Household size",6
"NM_2037_1_8","7 people in household","NM_2037_1","TS017","Household size",7
"NM_2037_1_9","8 or more people in household","NM_2037_1","TS017","Household size",8
"NM_1553_1_0","All categories: Household size","NM_1553_1","TS017","Household size",0
"NM_1553_1_1","1 person in household","NM_1553_1","TS017","Household size",1
"NM_1553_1_2","2 people in household","NM_1553_1","TS017","Household size",2
"NM_1553_1_3","3 people in household","NM_1553_1","TS017","Household size",3
"NM_1553_1_4","4 people in household","NM_1553_1","TS017","Household size",4
"NM_1553_1_5","5 people in household","NM_1553_1","TS017","Household size",5
"NM_1553_1_6","6 people in household","NM_1553_1","TS017","Household size",6
"NM_1553_1_7","7 people in household","NM_1553_1","TS017","Household size",7
"NM_1553_1_8","8 or more people in household","NM_1553_1","TS017","Household size",8
"NM_2039_1_0","Total: All usual residents","NM_2039_1","TS019","Migrant Indicator",0
"NM_2039_1_1","Address one year ago is the same as the address of enumeration","NM_2039_1","TS019","Migrant Indicator",1
"NM_2039_1_3","Migrant from within the UK: Address one year ago was in the UK","NM_2039_1","TS019","Migrant Indicator",4
"NM_2039_1_4","Migrant from outside the UK: Address one year ago was outside the UK","NM_2039_1","TS019","Migrant Indicator",5
"NM_1287_1_0","All usual residents","NM_1287_1","TS019","Migrant Indicator",0
"NM_1287_1_1","Lived at same address one year ago","NM_1287_1","TS019","Migrant Indicator",1
"NM_1287_1_4","Migrants: Moved into the area from within the UK","NM_1287_1","TS019","Migrant Indicator",4
"NM_1287_1_5","Migrants: Moved into the area from outside the UK","NM_1287_1","TS019","Migrant Indicator",5
"NM_2041_1_0","Total: All usual residents","NM_2041_1","TS021","Ethnic group",0
"NM_2041_1_12","Asian, Asian British or Asian Welsh: Bangladeshi","NM_2041_1","TS021","Ethnic group",6
"NM_2041_1_13","Asian, Asian British or Asian Welsh: Chinese","NM_2041_1","TS021","Ethnic group",7
"NM_2041_1_10","Asian, Asian British or Asian Welsh: Indian","NM_2041_1","TS021","Ethnic group",4
"NM_2041_1_11","Asian, Asian British or Asian Welsh: Pakistani","NM_2041_1","TS021","Ethnic group",5
"NM_2041_1_14","Asian, Asian British or Asian Welsh: Other Asian","NM_2041_1","TS021","Ethnic group",8
"NM_2041_1_1002","Black, Black British, Black Welsh, Caribbean or African","NM_2041_1","TS021","Ethnic group",9
"NM_2041_1_1003","Mixed or Multiple ethnic groups","NM_2041_1","TS021","Ethnic group",3
"NM_2041_1_1004","White","NM_2041_1","TS021","Ethnic group",1
"NM_2041_1_3","White: Gypsy or Irish Traveller","NM_2041_1","TS021","Ethnic group",2
"NM_2041_1_1005","Other ethnic group","NM_2041_1","TS021","Ethnic group",10
"NM_1504_1_0","All categories: Ethnic group","NM_1504_1","TS021","Ethnic group",0
"NM_1504_1_1","White","NM_1504_1","TS021","Ethnic group",1
"NM_1504_1_2","Gypsy / Traveller / Irish Traveller","NM_1504_1","TS021","Ethnic group",2
"NM_1504_1_3","Mixed / Multiple ethnic group","NM_1504_1","TS021","Ethnic group",3
"NM_1504_1_4","Asian / Asian British: Indian","NM_1504_1","TS021","Ethnic group",4
"NM_1504_1_5","Asian / Asian British: Pakistani","NM_1504_1","TS021","Ethnic group",5
"NM_1504_1_6","Asian / Asian British: Bangladeshi","NM_1504_1","TS021","Ethnic group",6
"NM_1504_1_7","Asian / Asian British: Chinese","NM_1504_1","TS021","Ethnic group",7
"NM_1504_1_8","Asian / Asian British: Other Asian","NM_1504_1","TS021","Ethnic group",8
"NM_1504_1_9","Black / African / Caribbean / Black British","NM_1504_1","TS021","Ethnic group",9
"NM_1504_1_10","Other Ethnic Group","NM_1504_1","TS021","Ethnic group",10
"NM_2042_1_0","Total: All households","NM_2042_1","TS023","Multiple ethnic group",0
"NM_2042_1_1","One-person household","NM_2042_1","TS023","Multiple ethnic group",1
"NM_2042_1_2","All household members have the same ethnic group","NM_2042_1","TS023","Multiple ethnic group",2
"NM_2042_1_3","Ethnic groups differ between generations but not within partnerships","NM_2042_1","TS023","Multiple ethnic group",3
"NM_2042_1_4","Ethnic groups differ within partnerships","NM_2042_1","TS023","Multiple ethnic group",4
"NM_2042_1_5","Any other combination of multiple ethnic identities","NM_2042_1","TS023","Multiple ethnic group",5
"NM_1543_1_0","All categories: Multiple ethnic groups","NM_1543_1","TS023","Multiple ethnic group",0
"NM_1543_1_1","One person household","NM_1543_1","TS023","Multiple ethnic group",1
"NM_1543_1_2","All household members have the same ethnic group","NM_1543_1","TS023","Multiple ethnic group",2
"NM_1543_1_3","Different ethnic groups between the generations only","NM_1543_1","TS023","Multiple ethnic group",3
"NM_1543_1_4","Different ethnic groups within partnerships (whether or not different ethnic groups between generations)","NM_1543_1","TS023","Multiple ethnic group",4
"NM_1543_1_5","Any other combination of multiple ethnic groups","NM_1543_1","TS023","Multiple ethnic group",5
"NM_2048_1_0","Total: All usual residents aged 3 years and over","NM_2048_1","TS029","Proficiency in English",0
"NM_2048_1_1","Main language is English (English or Welsh in Wales)","NM_2048_1","TS029","Proficiency in English",1
"NM_2048_1_2","Main language is not English (English or Welsh in Wales): Can speak English very well","NM_2048_1","TS029","Proficiency in English",2
"NM_2048_1_3","Main language is not English (English or Welsh in Wales): Can speak English well","NM_2048_1","TS029","Proficiency in English",3
"NM_2048_1_4","Main language is not English (English or Welsh in Wales): Cannot speak English well","NM_2048_1","TS029","Proficiency in English",4
"NM_2048_1_5","Main language is not English (English or Welsh in Wales): Cannot speak English","NM_2048_1","TS029","Proficiency in English",5
"NM_526_1_0","All categories: Proficiency in English","NM_526_1","TS029","Proficiency in English",0
"NM_526_1_1","Main language is English (English or Welsh in Wales)","NM_526_1","TS029","Proficiency in English",1
"NM_526_1_2","Main language is not English (English or Welsh in Wales): Can speak English very well","NM_526_1","TS029","Proficiency in English",2
"NM_526_1_3","Main language is not English (English or Welsh in Wales): Can speak English well","NM_526_1","TS029","Proficiency in English",3
"NM_526_1_4","Main language is not English (English or Welsh in Wales): Cannot speak English well","NM_526_1","TS029","Proficiency in English",4
"NM_526_1_5","Main language is not English (English or Welsh in Wales): Cannot speak English","NM_526_1","TS029","Proficiency in English",5
"NM_2049_1_0","Total: All usual residents","NM_2049_1","TS030","Religion",0
"NM_2049_1_1","No religion","NM_2049_1","TS030","Religion",8
"NM_2049_1_2","Christian","NM_2049_1","TS030","Religion",1
"NM_2049_1_3","Buddhist","NM_2049_1","TS030","Religion",2
"NM_2049_1_4","Hindu","NM_2049_1","TS030","Religion",3
"NM_2049_1_5","Jewish","NM_2049_1","TS030","Religion",4
"NM_2049_1_6","Muslim","NM_2049_1","TS030","Religion",5
"NM_2049_1_7","Sikh","NM_2049_1","TS030","Religion",6
"NM_2049_1_8","Other religion","NM_2049_1","TS030","Religion",7
"NM_2049_1_9","Not answered","NM_2049_1","TS030","Religion",9
"NM_616_1_0","All categories: Religion","NM_616_1","TS030","Religion",0
"NM_616_1_1","Christian","NM_616_1","TS030","Religion",1
"NM_616_1_2","Buddhist","NM_616_1","TS030","Religion",2
"NM_616_1_3","Hindu","NM_616_1","TS030","Religion",3
"NM_616_1_4","Jewish","NM_616_1","TS030","Religion",4
"NM_616_1_5","Muslim","NM_616_1","TS030","Religion",5
"NM_616_1_6","Sikh","NM_616_1","TS030","Religion",6
"NM_616_1_7","Other religion","NM_616_1","TS030","Religion",7
"NM_616_1_8","No religion","NM_616_1","TS030","Religion",8
"NM_616_1_9","Religion not stated","NM_616_1","TS030","Religion",9
"NM_2055_1_0","Total: All usual residents","NM_2055_1","TS037","General health",0
"NM_2055_1_1","Very good health","NM_2055_1","TS037","General health",1
"NM_2055_1_2","Good health","NM_2055_1","TS037","General health",2
"NM_2055_1_3","Fair health","NM_2055_1","TS037","General health",3
"NM_2055_1_4","Bad health","NM_2055_1","TS037","General health",4
"NM_2055_1_5","Very bad health","NM_2055_1","TS037","General health",5
"NM_1546_1_0","All categories: General health","NM_1546_1","TS037","General health",0
"NM_1546_1_1","Very good health","NM_1546_1","TS037","General health",1
"NM_1546_1_2","Good health","NM_1546_1","TS037","General health",2
"NM_1546_1_3","Fair health","NM_1546_1","TS037","General health",3
"NM_1546_1_4","Bad health","NM_1546_1","TS037","General health",4
"NM_1546_1_5","Very bad health","NM_1546_1","TS037","General health",5
"NM_2056_1_0","Total: All usual residents","NM_2056_1","TS038","Disability",0
"NM_2056_1_1","Disabled under the Equality Act: Day-to-day activities limited a lot","NM_2056_1","TS038","Disability",1
"NM_2056_1_2","Disabled under the Equality Act: Day-to-day activities limited a little","NM_2056_1","TS038","Disability",2
"NM_2056_1_1002","Not disabled under the Equality Act","NM_2056_1","TS038","Disability",3
"NM_1547_1_0","All categories: Long-term health problem or disability","NM_1547_1","TS038","Disability",0
"NM_1547_1_1","Day-to-day activities limited a lot","NM_1547_1","TS038","Disability",1
"NM_1547_1_2","Day-to-day activities limited a little","NM_1547_1","TS038","Disability",2
"NM_1547_1_3","Day-to-day activities not limited","NM_1547_1","TS038","Disability",3
"NM_2057_1_0","Total: All usual residents aged 5 and over","NM_2057_1","TS039","Provision of unpaid care",0
"NM_2057_1_1","Provides no unpaid care","NM_2057_1","TS039","Provision of unpaid care",1
"NM_2057_1_101","Provides 19 hours or less unpaid care a week","NM_2057_1","TS039","Provision of unpaid care",2
"NM_2057_1_102","Provides 20 to 49 hours unpaid care a week","NM_2057_1","TS039","Provision of unpaid care",3
"NM_2057_1_6","Provides 50 or more hours unpaid care a week","NM_2057_1","TS039","Provision of unpaid care",4
"NM_1545_1_0","All categories: Provision of unpaid care","NM_1545_1","TS039","Provision of unpaid care",0
"NM_1545_1_1","Provides no unpaid care","NM_1545_1","TS039","Provision of unpaid care",1
"NM_1545_1_2","Provides 1 to 19 hours unpaid care a week","NM_1545_1","TS039","Provision of unpaid care",2
"NM_1545_1_3","Provides 20 to 49 hours unpaid care a week","NM_1545_1","TS039","Provision of unpaid care",3
"NM_1545_1_4","Provides 50 or more hours unpaid care a week","NM_1545_1","TS039","Provision of unpaid care",4
"NM_2062_1_0","Total: All households","NM_2062_1","TS044","Accommodation type",0
"NM_2062_1_1","Detached","NM_2062_1","TS044","Accommodation type",3
"NM_2062_1_2","Semi-detached","NM_2062_1","TS044","Accommodation type",4
