"TableVariableCode21","CategoryCode21","VariableName21","Denominator21","TS_code","TableName21","TableCode21","Domain21","TableCode11","nested"
"NM_2023_1_11",11,"Single family household: Lone parent family: All children non-dependent","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_1006",1006,"Single family household: Other single family household","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_12",12,"Single family household: Other single family household: Other family composition","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",3
"NM_2023_1_1007",1007,"Other household types","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",1
"NM_2023_1_13",13,"Other household types: With dependent children","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2023_1_14",14,"Other household types: Other, including all full-time students and all aged 66 years and over","All households","TS003","Household composition","NM_2023_1","Demography and Migration","NM_1538_1",2
"NM_2024_1_0",0,"Total: All usual residents","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",0
"NM_2024_1_1001",1001,"Europe","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2024_1_1",1,"Europe: United Kingdom","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",2
"NM_2024_1_1002",1002,"Europe: EU countries","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",2
"NM_2024_1_2",2,"Europe: EU countries: European Union EU14","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",3
"NM_2024_1_3",3,"Europe: EU countries: European Union EU8","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",3
"NM_2024_1_4",4,"Europe: EU countries: European Union EU2","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",3
"NM_2024_1_5",5,"Europe: EU countries: All other EU countries","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",3
"NM_2024_1_1003",1003,"Europe: Non-EU countries","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",2
"NM_2024_1_6",6,"Europe: Non-EU countries: All other non-EU countries","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",3
"NM_2024_1_7",7,"Africa","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2024_1_8",8,"Middle East and Asia","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2024_1_9",9,"The Americas and the Caribbean","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2024_1_10",10,"Antarctica and Oceania (including Australasia) and Other","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2024_1_11",11,"British Overseas","All usual residents","TS004","Country of birth","NM_2024_1","Demography and Migration","NM_1544_1",1
"NM_2025_1_0",0,"Total: All usual residents","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",0
"NM_2025_1_1001",1001,"Europe","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_1",1,"Europe: United Kingdom","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_2",2,"Europe: Ireland","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_1002",1002,"Europe: Other Europe","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_1003",1003,"Europe: Other Europe: EU Member countries","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",3
"NM_2025_1_3",3,"Europe: Other Europe: EU Member countries: France","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_4",4,"Europe: Other Europe: EU Member countries: Germany","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_5",5,"Europe: Other Europe: EU Member countries: Italy","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_6",6,"Europe: Other Europe: EU Member countries: Portugal","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_7",7,"Europe: Other Europe: EU Member countries: Spain","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_8",8,"Europe: Other Europe: EU Member countries: Lithuania","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_9",9,"Europe: Other Europe: EU Member countries: Poland","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_10",10,"Europe: Other Europe: EU Member countries: Romania","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_11",11,"Europe: Other Europe: EU Member countries: Other EU countries","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_1004",1004,"Europe: Other Europe: Rest of Europe","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",3
"NM_2025_1_12",12,"Europe: Other Europe: Rest of Europe: Turkey","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_13",13,"Europe: Other Europe: Rest of Europe: Other Europe","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",4
"NM_2025_1_1005",1005,"Africa","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_14",14,"Africa: North Africa","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_15",15,"Africa: Central and Western Africa","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_16",16,"Africa: South and Eastern Africa","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_1006",1006,"Middle East and Asia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_17",17,"Middle East and Asia: Middle East","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_18",18,"Middle East and Asia: Eastern Asia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_19",19,"Middle East and Asia: Southern Asia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_20",20,"Middle East and Asia: South-East Asia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_21",21,"Middle East and Asia: Central Asia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_1007",1007,"The Americas and the Caribbean","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_22",22,"The Americas and the Caribbean: North America and the Caribbean","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_23",23,"The Americas and the Caribbean: Central and South America","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",2
"NM_2025_1_24",24,"Antarctica and Oceania, including Australasia","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_25",25,"British Overseas Territories","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2025_1_26",26,"No passport held","All usual residents","TS005","Passports held","NM_2025_1","Demography and Migration","NM_612_1",1
"NM_2026_1_0",0,"Usual residents per square kilometre","All usual residents","TS006","Population density","NM_2026_1","Demography and Migration","NM_160_1",0
"NM_2020_1_0",0,"Total","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",0
"NM_2020_1_1",1,"Aged 4 years and under","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_2",2,"Aged 5 to 9 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_3",3,"Aged 10 to 14 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_4",4,"Aged 15 to 19 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_5",5,"Aged 20 to 24 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_6",6,"Aged 25 to 29 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_7",7,"Aged 30 to 34 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_8",8,"Aged 35 to 39 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_9",9,"Aged 40 to 44 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_10",10,"Aged 45 to 49 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_11",11,"Aged 50 to 54 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_12",12,"Aged 55 to 59 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_13",13,"Aged 60 to 64 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_14",14,"Aged 65 to 69 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_15",15,"Aged 70 to 74 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_16",16,"Aged 75 to 79 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_17",17,"Aged 80 to 84 years","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2020_1_18",18,"Aged 85 years and over","All usual residents","TS007A","Age by five-year age bands","NM_2020_1","Demography and Migration","NM_1531_1",1
"NM_2028_1_0",0,"All persons","All usual residents","TS008","Sex","NM_2028_1","Demography and Migration","NM_1532_1",0
"NM_2028_1_1",1,"Female","All usual residents","TS008","Sex","NM_2028_1","Demography and Migration","NM_1532_1",1
"NM_2028_1_2",2,"Male","All usual residents","TS008","Sex","NM_2028_1","Demography and Migration","NM_1532_1",1
"NM_2031_1_0",0,"Total: All households","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",0
"NM_2031_1_1",1,"Household is not deprived in any dimension","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",1
"NM_2031_1_2",2,"Household is deprived in one dimension","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",1
"NM_2031_1_3",3,"Household is deprived in two dimensions","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",1
"NM_2031_1_4",4,"Household is deprived in three dimensions","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",1
"NM_2031_1_5",5,"Household is deprived in four dimensions","All households","TS011","Households by deprivation dimensions","NM_2031_1","Demography and Migration","NM_519_1",1
"NM_2035_1_0",0,"Total: All usual residents","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",0
"NM_2035_1_1",1,"Born in the UK","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_2",2,"Arrived before 1951","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_3",3,"Arrived 1951 to 1960","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_4",4,"Arrived 1961 to 1970","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_5",5,"Arrived 1971 to 1980","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_6",6,"Arrived 1981 to 1990","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_7",7,"Arrived 1991 to 2000","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_8",8,"Arrived 2001 to 2010","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_9",9,"Arrived 2011 to 2013","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_10",10,"Arrived 2014 to 2016","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_11",11,"Arrived 2017 to 2019","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2035_1_12",12,"Arrived 2020 to 2021","All usual residents","TS015","Year of arrival in UK","NM_2035_1","Demography and Migration","NM_569_1",1
"NM_2036_1_0",0,"Total: All usual residents","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",0
"NM_2036_1_1",1,"Born in the UK","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",1
"NM_2036_1_2",2,"10 years or more","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",1
"NM_2036_1_3",3,"5 years or more, but less than 10 years","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",1
"NM_2036_1_4",4,"2 years or more, but less than 5 years","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",1
"NM_2036_1_5",5,"Less than 2 years","All usual residents","TS016","Length of residence","NM_2036_1","Demography and Migration","NM_571_1",1
"NM_2037_1_0",0,"Total: All households","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",0
"NM_2037_1_1",1,"0 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_2",2,"1 person in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_3",3,"2 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_4",4,"3 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_5",5,"4 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_6",6,"5 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_7",7,"6 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_8",8,"7 people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2037_1_9",9,"8 or more people in household","All households","TS017","Household size","NM_2037_1","Demography and Migration","NM_1553_1",1
"NM_2038_1_0",0,"Total: All usual residents","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",0
"NM_2038_1_1",1,"Born in the UK","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",1
"NM_2038_1_1001",1001,"Arrived in the UK","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",1
"NM_2038_1_2",2,"Arrived in the UK: Aged 0 to 4 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_3",3,"Arrived in the UK: Aged 5 to 7 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_4",4,"Arrived in the UK: Aged 8 to 9 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_5",5,"Arrived in the UK: Aged 10 to 14 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_6",6,"Arrived in the UK: Aged 15 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_7",7,"Arrived in the UK: Aged 16 to 17 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_8",8,"Arrived in the UK: Aged 18 to 19 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_9",9,"Arrived in the UK: Aged 20 to 24 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_10",10,"Arrived in the UK: Aged 25 to 29 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_11",11,"Arrived in the UK: Aged 30 to 44 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_12",12,"Arrived in the UK: Aged 45 to 59 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_13",13,"Arrived in the UK: Aged 60 to 64 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_14",14,"Arrived in the UK: Aged 65 to 74 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_15",15,"Arrived in the UK: Aged 75 to 84 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_16",16,"Arrived in the UK: Aged 85 to 89 years","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2038_1_17",17,"Arrived in the UK: Aged 90 years and over","All usual residents","TS018","Age of arrival in the UK","NM_2038_1","Demography and Migration","NM_570_1",2
"NM_2039_1_0",0,"Total: All usual residents","All usual residents","TS019","Migrant Indicator","NM_2039_1","Demography and Migration","NM_1287_1",0
"NM_2039_1_1",1,"Address one year ago is the same as the address of enumeration","All usual residents","TS019","Migrant Indicator","NM_2039_1","Demography and Migration","NM_1287_1",1
"NM_2039_1_2",2,"Address one year ago is student term-time or boarding school address in the UK","All usual residents","TS019","Migrant Indicator","NM_2039_1","Demography and Migration","NM_1287_1",1
"NM_2039_1_3",3,"Migrant from within the UK: Address one year ago was in the UK","All usual residents","TS019","Migrant Indicator","NM_2039_1","Demography and Migration","NM_1287_1",1
"NM_2039_1_4",4,"Migrant from outside the UK: Address one year ago was outside the UK","All usual residents","TS019","Migrant Indicator","NM_2039_1","Demography and Migration","NM_1287_1",1
"NM_2041_1_0",0,"Total: All usual residents","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",0
"NM_2041_1_1001",1001,"Asian, Asian British or Asian Welsh","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",1
"NM_2041_1_12",12,"Asian, Asian British or Asian Welsh: Bangladeshi","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_13",13,"Asian, Asian British or Asian Welsh: Chinese","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_10",10,"Asian, Asian British or Asian Welsh: Indian","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_11",11,"Asian, Asian British or Asian Welsh: Pakistani","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_14",14,"Asian, Asian British or Asian Welsh: Other Asian","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_1002",1002,"Black, Black British, Black Welsh, Caribbean or African","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",1
"NM_2041_1_16",16,"Black, Black British, Black Welsh, Caribbean or African: African","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_15",15,"Black, Black British, Black Welsh, Caribbean or African: Caribbean","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_17",17,"Black, Black British, Black Welsh, Caribbean or African: Other Black","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_1003",1003,"Mixed or Multiple ethnic groups","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",1
"NM_2041_1_8",8,"Mixed or Multiple ethnic groups: White and Asian","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_7",7,"Mixed or Multiple ethnic groups: White and Black African","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_6",6,"Mixed or Multiple ethnic groups: White and Black Caribbean","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_9",9,"Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
